story_prompt,total_seconds,clap_score,audio_richness_spectral_flatness,audio_richness_spectral_entropy,noise_floor_db,audio_onsets,cinematic_dynamic_range_db,cinematic_crest_factor,cinematic_spectral_flatness,cinematic_spectral_entropy,cinematic_spectral_centroid_hz,spectral_kl_divergence,fad_score,audio_wav_path,audio_export_error,error
"A man with an enigmatic past navigates sterile medical environments and unsettling revelations, uncovering disturbing truths about experimental treatments and tracking that suggest a profound and potentially dangerous transformation within himself.",50.94782303785905,0.25445568561553955,0.0004414582,6.201162,-1.5579488,47,10.568757496559575,2.5138582108577725,0.00044145819265395403,6.201161861419678,3531.770861524133,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_4535861219.wav,,
"Amidst the warm, inviting interiors of a family home, various generations interact with tender moments and subtle tensions, hinting at complex familial bonds and underlying emotional struggles.",50.84271444519982,0.22672158479690552,0.00030205393,6.147744,-1.5321814,65,9.507241801267245,2.1164175615669047,0.000302053929772228,6.147744178771973,2955.8798031909296,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_329122f405.wav,,
"A series of tense, rain-soaked western confrontations erupts across saloons and dusty streets, as a determined man in a fedora faces off against multiple adversaries amidst a hail of gunfire and declarations of impending battle.",50.84803791856393,0.24152173101902008,0.0002916016,5.852329,-1.5303863,55,9.243744697314401,2.0531189456623844,0.0002916016092058271,5.852328777313232,2675.3796022058305,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_0ad637f9b1.wav,,
"A calm restaurant conversation about violent films abruptly cuts to an explosive, over-the-top movie scene where a flamethrower-wielding soldier incinerates Nazis, then transitions to a vibrant montage of 1960s Los Angeles glamour and lively parties.",50.83686901582405,0.3376327157020569,0.00044621903,5.7508545,-1.5631173,54,8.718854495037638,1.9209423114496988,0.000446219026343897,5.7508544921875,2737.858161763397,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_9f0179aa20.wav,,
"The clip transitions from a vibrant, yet subtly tense, nocturnal Hollywood of poolside relaxation and car conversations, into the bright daytime world of movie theaters, culminating with Sharon Tate joyfully witnessing her own performance on the big screen.",50.184194133616984,0.14766927063465118,0.0003601408,5.8873925,-1.5869055,43,9.474379985546863,2.078923398447105,0.00036014080978929996,5.887392520904541,2838.3959084740536,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_0b92f63df3.wav,,
"The chaotic clip rapidly shifts between fantastical delusions of a towering creature causing explosive urban destruction and the stark reality of an actor grappling with inner voices, intense rooftop confrontations, a dramatic plunge from a skyscraper, and the overwhelming scrutiny of paparazzi.",50.122092043980956,0.3146114945411682,0.0003411832,6.044065,-1.5222151,56,9.205230553196095,2.0472432048416174,0.0003411831858102232,6.044064998626709,2885.053241320274,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_47523e0b68.wav,,
"A young warrior and his companion navigate perilous desert dunes, demonstrating raw, determined power as they use fremkit hooks to traverse the shifting sands, facing unseen, colossal forces that violently disturb the very landscape.",50.113798985257745,0.09008803218603134,0.00027047104,5.67948,-1.5238266,63,8.966634394892045,1.9881082098814715,0.0002704710350371897,5.679480075836182,2694.3297415110105,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_b4831736f6.wav,,
"A weary James Bond confronts a skeptical M and a challenging superior about his past and readiness, before a massive explosion devastates a building, leaving a somber symbol of national loss in its wake.",50.121433983556926,0.13569286465644836,0.00032189145,5.432413,-1.552344,69,8.91814234867035,1.9617343131021399,0.0003218914498575032,5.432413101196289,2431.974823578936,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_595a01abf9.wav,,
"In a seemingly tranquil small town, a man navigates a silent general store with meticulous caution, his quiet footsteps and the rustle of a plastic bag cutting through the eerie stillness until a faint, almost imperceptible announcement disrupts the unsettling calm.",50.00634518242441,0.03410496562719345,0.00028919792,6.0003734,-1.5662746,48,9.794346521502018,2.1741804130994544,0.0002891979238484055,6.000373363494873,2839.055930059079,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_8acd94a91b.wav,,
"A helmet-clad soldier cautiously navigates a grimy, dimly lit urban corridor before being brutally ambushed by a bloodied operative, who then, protecting a young boy, plunges into a chaotic close-quarters gunfight against multiple assailants.",49.910243845311925,0.1261739730834961,0.00036967648,6.044859,-1.5865533,49,10.145426292693173,2.26248175129406,0.00036967647611163557,6.044858932495117,2971.2165199992464,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_cf2fd90480.wav,,
"In a claustrophobic, dimly lit urban alleyway, a rugged operative fiercely battles masked assailants in brutal hand-to-hand combat and gunfire, before frantically dragging a young civilian through the chaotic streets and up a flight of stairs to an open-air escape.",49.909847679315135,0.36177510023117065,0.0002001743,5.5867133,-1.5234458,63,9.344401981084347,2.0816581123210223,0.0002001742977881804,5.5867133140563965,2523.075373501743,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_6be5f1de4d.wav,,
"Amidst scenes of meticulous scientific assembly in both sterile labs and desolate desert outposts, a profound and escalating tension builds as brilliant minds confront the monumental, world-altering implications of their creation.",49.91011582571082,0.19068701565265656,0.0003930032,6.247777,-1.5508466,37,9.250525655051362,2.04709703833475,0.00039300319622270763,6.247776985168457,3055.18597813881,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_ef0404baa7.wav,,
"An astronaut frantically grapples with failing equipment in the dark abyss of space, punctuated by a catastrophic explosion, before the scene transitions to a corporate logo and then back to the desperate astronaut spinning uncontrollably against the Earth, pleading for help amidst escalating chaos and radio silence.",48.93634136905894,0.3729110360145569,0.0002934313,5.6847787,-1.5283004,75,9.065189470195616,2.0060591023164176,0.00029343130881898105,5.684778690338135,2609.0375413734887,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_1d4dec4a9b.wav,,
"Bruce Wayne and Alfred discuss the concept of subtlety within their urban environment, humorously juxtaposed with the powerful roar of a high-performance Lamborghini, before the scene dramatically cuts to a climactic title card reveal.",48.93111898424104,0.1651524007320404,0.00026266582,5.8970175,-1.51566,26,9.491923574032866,2.1290808742209246,0.0002626658242661506,5.897017478942871,3004.433367261063,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_013da81d0e.wav,,
"A chilling montage reveals a descent into a brutal world where a stoic killer targets the innocent, while others arm themselves for a desperate, violent confrontation with an inevitable, sinister force.",48.930969453882426,0.3071000874042511,0.0002985579,5.4625173,-1.5547881,56,9.093424478068608,2.002623131049906,0.0002985578903462738,5.462517261505127,2345.2678268740137,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_226cd7abdd.wav,,
"The clip rapidly stitches together unsettling scenes of tense pursuit, fleeting confrontations, and sudden, brutal violence across desolate landscapes and dimly lit interiors, hinting at a relentless and dangerous cat-and-mouse game.",48.93125398317352,0.33816951513290405,0.00035741375,6.133111,-1.5318533,30,9.556112501750386,2.128225538377678,0.00035741375177167356,6.133111000061035,2976.916750264296,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_6fdc705994.wav,,
"The scene transitions from the worried faces of Llewelyn and Carla Jean Moss, followed by the chilling presence of Anton Chigurh, to the impactful reveal of the movie title, encapsulating a mood of grim foreboding.",49.03914403542876,0.0443844348192215,0.0003122824,6.0320363,-1.5370644,57,9.083083281265239,2.0136091437300854,0.00031228241277858615,6.032036304473877,2872.7768962275704,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_f99b0d1c5c.wav,,
"The final moments of the trailer reveal the film's stark title and essential creative credits against a dark, bokeh-lit backdrop, culminating in a series of production company logos, signifying a contemplative conclusion.",49.037290785461664,0.11728739738464355,0.00021784837,4.612017,-1.5130007,57,8.574075680623796,1.9028340287713232,0.00021784837008453906,4.6120171546936035,2440.2305946589245,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_09c8867f9e.wav,,
"A quiet suburban night is shattered by the aftermath of a home invasion, revealing a seemingly ordinary man's unsettling calm amidst police inquiries and family distress, hinting at a suppressed, dangerous nature.",49.03698434121907,0.16811472177505493,0.00033106134,6.0430794,-1.5550222,62,9.971995248114013,2.2277088546156643,0.00033106133923865855,6.043079376220703,3006.010598082046,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_2adb0f7f3c.wav,,
"Amidst a crumbling future where humanity immerses itself in the vibrant virtual realm of the OASIS, a high-stakes hunt for dominance ignites, forcing characters to confront the perilous fusion of digital escapism and tangible consequences.",49.036483521573246,0.0834561437368393,0.00035224654,6.0459065,-1.5350822,70,9.449515870089765,2.0982988053131972,0.00035224654129706323,6.0459065437316895,2981.379022662688,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_8e663ae4c7.wav,,
"Within the grim confines of a prison yard and mess hall, an inmate's quiet contemplation of the sky and the natural world beyond inspires a fellow prisoner to articulate the enduring power of hope against formidable walls, a sentiment one wise elder acknowledges with a cautionary warning.",49.49120091297664,0.23454469442367554,0.00024050858,5.4255137,-1.5108463,73,8.993729561513167,1.9955697785124369,0.00024050858337432146,5.425513744354248,2360.597490507203,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/tango2_audios/prompt_340ade1faa.wav,,
