story_prompt,total_seconds,clap_score,audio_richness_spectral_flatness,audio_richness_spectral_entropy,noise_floor_db,audio_onsets,cinematic_dynamic_range_db,cinematic_crest_factor,cinematic_spectral_flatness,cinematic_spectral_entropy,cinematic_spectral_centroid_hz,spectral_kl_divergence,fad_score,audio_wav_path,audio_export_error,error
"A man with an enigmatic past navigates sterile medical environments and unsettling revelations, uncovering disturbing truths about experimental treatments and tracking that suggest a profound and potentially dangerous transformation within himself.",57.86671015853062,0.4282457232475281,1.8835566e-05,2.9901168,-32.91747,4,75.94819757424547,6.451479075506959,1.883556615212001e-05,2.990116834640503,1132.2673764213725,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/audioldm_audios/prompt_4535861219.wav,,
"Amidst the warm, inviting interiors of a family home, various generations interact with tender moments and subtle tensions, hinting at complex familial bonds and underlying emotional struggles.",57.935262045357376,0.17367631196975708,5.7799272e-05,4.081658,-22.257265,5,56.80036452532789,5.802973035059238,5.779927232651971e-05,4.081657886505127,1367.230224133596,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/audioldm_audios/prompt_329122f405.wav,,
"A series of tense, rain-soaked western confrontations erupts across saloons and dusty streets, as a determined man in a fedora faces off against multiple adversaries amidst a hail of gunfire and declarations of impending battle.",57.92118202755228,0.14091813564300537,5.0655017e-05,3.2318716,-31.276623,3,73.6060965208108,9.390572153187714,5.065501682111062e-05,3.2318716049194336,1111.068536442656,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/audioldm_audios/prompt_0ad637f9b1.wav,,
"A calm restaurant conversation about violent films abruptly cuts to an explosive, over-the-top movie scene where a flamethrower-wielding soldier incinerates Nazis, then transitions to a vibrant montage of 1960s Los Angeles glamour and lively parties.",57.947004144545645,0.2873947024345398,8.1569124e-05,4.7688503,-33.661526,3,77.40026202850723,4.535413480406435,8.15691237221472e-05,4.768850326538086,1777.4080704359776,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/audioldm_audios/prompt_9f0179aa20.wav,,
"The clip transitions from a vibrant, yet subtly tense, nocturnal Hollywood of poolside relaxation and car conversations, into the bright daytime world of movie theaters, culminating with Sharon Tate joyfully witnessing her own performance on the big screen.",61.494547898182645,0.31202125549316406,0.0001583871,4.980395,-28.55711,1,68.13013300593786,10.188973720135637,0.00015838710532989353,4.9803948402404785,1522.2759242494215,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/audioldm_audios/prompt_0b92f63df3.wav,,
"The chaotic clip rapidly shifts between fantastical delusions of a towering creature causing explosive urban destruction and the stark reality of an actor grappling with inner voices, intense rooftop confrontations, a dramatic plunge from a skyscraper, and the overwhelming scrutiny of paparazzi.",61.409014251315966,0.421322762966156,5.5194887e-05,3.3442984,-32.96133,2,76.59587769143377,5.808142053943997,5.519488695426844e-05,3.3442983627319336,1354.4969565995661,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/audioldm_audios/prompt_47523e0b68.wav,,
"A young warrior and his companion navigate perilous desert dunes, demonstrating raw, determined power as they use fremkit hooks to traverse the shifting sands, facing unseen, colossal forces that violently disturb the very landscape.",61.418056927854195,0.37054741382598877,3.94192e-05,3.0587761,-32.902153,19,74.95791457433144,4.674467323312558,3.941919931094162e-05,3.0587761402130127,1248.7898822458988,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/audioldm_audios/prompt_b4831736f6.wav,,
"A weary James Bond confronts a skeptical M and a challenging superior about his past and readiness, before a massive explosion devastates a building, leaving a somber symbol of national loss in its wake.",61.386373499641195,0.4386920630931854,4.679004e-05,3.2392573,-31.687664,3,72.6166177420889,5.7528773093005325,4.6790039050392807e-05,3.239257335662842,1108.5478571573633,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/audioldm_audios/prompt_595a01abf9.wav,,
"In a seemingly tranquil small town, a man navigates a silent general store with meticulous caution, his quiet footsteps and the rustle of a plastic bag cutting through the eerie stillness until a faint, almost imperceptible announcement disrupts the unsettling calm.",60.449858584674075,0.2956806421279907,6.905517e-05,2.6730251,-29.859795,10,71.28053668152003,10.17257108153477,6.905516784172505e-05,2.673025131225586,1380.8410934423348,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/audioldm_audios/prompt_8acd94a91b.wav,,
"A helmet-clad soldier cautiously navigates a grimy, dimly lit urban corridor before being brutally ambushed by a bloodied operative, who then, protecting a young boy, plunges into a chaotic close-quarters gunfight against multiple assailants.",60.37036283337511,0.3032728433609009,0.00031097094,5.4941254,-18.292362,42,43.88666348590466,7.483593910262516,0.0003109709359705448,5.4941253662109375,2370.608953020056,,,/home/bt2/22CS10004/cinemaudio-studio/backend/Evaluation/Results/infernce_results/audioldm_audios/prompt_cf2fd90480.wav,,
